"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","828","Inventory page displays correct number of products","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Inventory page displays correct number of products",""
"","335","Request a user that does not exist returns 404","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1012","User can remove a product from the cart","","2026-06-18","passed","2026-06-18","","Cart functionality","User can remove a product from the cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1111","Overview page displays correct order summary","","2026-06-18","passed","2026-06-18","","Checkout functionality","Overview page displays correct order summary",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1109","Checkout shows error when postal code is missing","","2026-06-18","passed","2026-06-18","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2415","User can navigate to the cart","","2026-06-18","passed","2026-06-18","","Cart functionality","User can navigate to the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","850","Standard user can log in successfully","","2026-06-18","passed","2026-06-18","","Login functionality","Standard user can log in successfully",""
"","328","Successful login returns a token","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Successful login returns a token",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","917","Products can be sorted alphabetically descending","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Products can be sorted alphabetically descending",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1027","Adding a product updates the cart badge","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Adding a product updates the cart badge",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1219","User can complete a full checkout","","2026-06-18","passed","2026-06-18","","Checkout functionality","User can complete a full checkout",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1141","User can log in after correcting invalid credentials","","2026-06-18","passed","2026-06-18","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","990","Added product appears in cart","","2026-06-18","passed","2026-06-18","","Cart functionality","Added product appears in cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1107","Checkout shows error when first name is missing","","2026-06-18","passed","2026-06-18","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","737","User cannot log in with empty username","","2026-06-18","passed","2026-06-18","","Login functionality","User cannot log in with empty username",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1062","Multiple products appear in cart","","2026-06-18","passed","2026-06-18","","Cart functionality","Multiple products appear in cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","896","Products can be sorted alphabetically ascending","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1007","Checkout page is displayed after proceeding from cart","","2026-06-18","passed","2026-06-18","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1025","Adding multiple products updates the cart badge count","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1015","User can continue shopping from cart","","2026-06-18","passed","2026-06-18","","Cart functionality","User can continue shopping from cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","788","Locked out user cannot log in","","2026-06-18","passed","2026-06-18","","Login functionality","Locked out user cannot log in",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1205","User can navigate back to products after completing order","","2026-06-18","passed","2026-06-18","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1024","Products can be sorted by price low to high","","2026-06-18","passed","2026-06-18","","Inventory page functionality","Products can be sorted by price low to high",""
"","344","Successful registration returns an ID and token","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"","357","Create a user with different attributes","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"","371","Create a new user successfully","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Create a new user successfully",""
"","413","Retrieve a single user by ID successfully","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","783","User cannot log in with empty password","","2026-06-18","passed","2026-06-18","","Login functionality","User cannot log in with empty password",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","799","Error message is displayed when both fields are empty","","2026-06-18","passed","2026-06-18","","Login functionality","Error message is displayed when both fields are empty",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","879","Standard user lands on inventory page after login","","2026-06-18","passed","2026-06-18","","Login functionality","Standard user lands on inventory page after login",""
"","3545","Retrieve first page of users successfully","","2026-06-18","passed","2026-06-18","","ReqRes API — Users and Authentication","Retrieve first page of users successfully",""
