"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","934","Standard user can log in successfully","","Sun Apr 19 07:17:37 UTC 2026","passed","Sun Apr 19 07:17:38 UTC 2026","","Login functionality","Standard user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","839","Locked out user cannot log in","","Sun Apr 19 07:17:39 UTC 2026","passed","Sun Apr 19 07:17:40 UTC 2026","","Login functionality","Locked out user cannot log in",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1061","Added product appears in cart","","Sun Apr 19 07:17:17 UTC 2026","passed","Sun Apr 19 07:17:18 UTC 2026","","Cart functionality","Added product appears in cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","822","User cannot log in with empty username","","Sun Apr 19 07:17:40 UTC 2026","passed","Sun Apr 19 07:17:41 UTC 2026","","Login functionality","User cannot log in with empty username",""
"","174","Successful registration returns an ID and token","","Sun Apr 19 07:17:13 UTC 2026","passed","Sun Apr 19 07:17:13 UTC 2026","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1080","Adding multiple products updates the cart badge count","","Sun Apr 19 07:17:36 UTC 2026","passed","Sun Apr 19 07:17:37 UTC 2026","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1279","User can navigate back to products after completing order","","Sun Apr 19 07:17:29 UTC 2026","passed","Sun Apr 19 07:17:31 UTC 2026","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1137","Checkout shows error when postal code is missing","","Sun Apr 19 07:17:27 UTC 2026","passed","Sun Apr 19 07:17:28 UTC 2026","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","798","Error message is displayed when both fields are empty","","Sun Apr 19 07:17:49 UTC 2026","passed","Sun Apr 19 07:17:49 UTC 2026","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1099","Cart displays checkout button","","Sun Apr 19 07:17:20 UTC 2026","passed","Sun Apr 19 07:17:21 UTC 2026","","Cart functionality","Cart displays checkout button",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","4016","User can navigate to the cart","","Sun Apr 19 07:17:13 UTC 2026","passed","Sun Apr 19 07:17:17 UTC 2026","","Cart functionality","User can navigate to the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1071","User can log in after correcting invalid credentials","","Sun Apr 19 07:17:49 UTC 2026","passed","Sun Apr 19 07:17:50 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","839","User cannot log in with empty password","","Sun Apr 19 07:17:41 UTC 2026","passed","Sun Apr 19 07:17:42 UTC 2026","","Login functionality","User cannot log in with empty password",""
"","252","Request a user that does not exist returns 404","","Sun Apr 19 07:17:11 UTC 2026","passed","Sun Apr 19 07:17:11 UTC 2026","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
