"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","829","Inventory page displays correct number of products","","Thu May 21 09:38:24 UTC 2026","passed","Thu May 21 09:38:25 UTC 2026","","Inventory page functionality","Inventory page displays correct number of products",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1063","Multiple products appear in cart","","Thu May 21 09:38:12 UTC 2026","passed","Thu May 21 09:38:13 UTC 2026","","Cart functionality","Multiple products appear in cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1204","User can complete a full checkout","","Thu May 21 09:38:17 UTC 2026","passed","Thu May 21 09:38:18 UTC 2026","","Checkout functionality","User can complete a full checkout",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","848","Problem user can log in successfully","","Thu May 21 09:38:35 UTC 2026","passed","Thu May 21 09:38:36 UTC 2026","","Login functionality","Problem user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5856","Performance glitch user can log in successfully","","Thu May 21 09:38:36 UTC 2026","passed","Thu May 21 09:38:41 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1037","Products can be sorted by price high to low","","Thu May 21 09:38:28 UTC 2026","passed","Thu May 21 09:38:29 UTC 2026","","Inventory page functionality","Products can be sorted by price high to low",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2621","User can navigate to the cart","","Thu May 21 09:38:08 UTC 2026","passed","Thu May 21 09:38:11 UTC 2026","","Cart functionality","User can navigate to the cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","940","Adding a product updates the cart badge","","Thu May 21 09:38:29 UTC 2026","passed","Thu May 21 09:38:30 UTC 2026","","Inventory page functionality","Adding a product updates the cart badge",""
"","366","Create a new user successfully","","Thu May 21 09:38:06 UTC 2026","passed","Thu May 21 09:38:06 UTC 2026","","ReqRes API — Users and Authentication","Create a new user successfully",""
"","320","Successful registration returns an ID and token","","Thu May 21 09:38:08 UTC 2026","passed","Thu May 21 09:38:08 UTC 2026","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","799","Locked out user cannot log in","","Thu May 21 09:38:32 UTC 2026","passed","Thu May 21 09:38:33 UTC 2026","","Login functionality","Locked out user cannot log in",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","735","User cannot log in with empty username","","Thu May 21 09:38:33 UTC 2026","passed","Thu May 21 09:38:34 UTC 2026","","Login functionality","User cannot log in with empty username",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1218","User can navigate back to products after completing order","","Thu May 21 09:38:23 UTC 2026","passed","Thu May 21 09:38:24 UTC 2026","","Checkout functionality","User can navigate back to products after completing order",""
"","320","Successful login returns a token","","Thu May 21 09:38:07 UTC 2026","passed","Thu May 21 09:38:08 UTC 2026","","ReqRes API — Users and Authentication","Successful login returns a token",""
"","342","Request a user that does not exist returns 404","","Thu May 21 09:38:06 UTC 2026","passed","Thu May 21 09:38:06 UTC 2026","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","1035","Products can be sorted by price low to high","","Thu May 21 09:38:27 UTC 2026","passed","Thu May 21 09:38:28 UTC 2026","","Inventory page functionality","Products can be sorted by price low to high",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1120","Overview page displays correct order summary","","Thu May 21 09:38:22 UTC 2026","passed","Thu May 21 09:38:23 UTC 2026","","Checkout functionality","Overview page displays correct order summary",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1094","Checkout shows error when last name is missing","","Thu May 21 09:38:19 UTC 2026","passed","Thu May 21 09:38:20 UTC 2026","","Checkout functionality","Checkout shows error when last name is missing",""
"","238","Update an existing user successfully","","Thu May 21 09:38:07 UTC 2026","passed","Thu May 21 09:38:07 UTC 2026","","ReqRes API — Users and Authentication","Update an existing user successfully",""
"","536","Retrieve a single user by ID successfully","","Thu May 21 09:38:05 UTC 2026","passed","Thu May 21 09:38:06 UTC 2026","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","894","Standard user lands on inventory page after login","","Thu May 21 09:38:32 UTC 2026","passed","Thu May 21 09:38:32 UTC 2026","","Login functionality","Standard user lands on inventory page after login",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1112","Checkout shows error when postal code is missing","","Thu May 21 09:38:20 UTC 2026","passed","Thu May 21 09:38:22 UTC 2026","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","777","User cannot log in with empty password","","Thu May 21 09:38:34 UTC 2026","passed","Thu May 21 09:38:35 UTC 2026","","Login functionality","User cannot log in with empty password",""
"","327","Delete a user successfully","","Thu May 21 09:38:07 UTC 2026","passed","Thu May 21 09:38:07 UTC 2026","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","998","Added product appears in cart","","Thu May 21 09:38:11 UTC 2026","passed","Thu May 21 09:38:12 UTC 2026","","Cart functionality","Added product appears in cart",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1034","User can continue shopping from cart","","Thu May 21 09:38:15 UTC 2026","passed","Thu May 21 09:38:16 UTC 2026","","Cart functionality","User can continue shopping from cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1122","User can log in after correcting invalid credentials","","Thu May 21 09:38:42 UTC 2026","passed","Thu May 21 09:38:43 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1063","Checkout shows error when first name is missing","","Thu May 21 09:38:18 UTC 2026","passed","Thu May 21 09:38:19 UTC 2026","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1019","User can remove a product from the cart","","Thu May 21 09:38:13 UTC 2026","passed","Thu May 21 09:38:14 UTC 2026","","Cart functionality","User can remove a product from the cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1013","Checkout page is displayed after proceeding from cart","","Thu May 21 09:38:16 UTC 2026","passed","Thu May 21 09:38:17 UTC 2026","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"","187","Login without password returns 400 with error message","","Thu May 21 09:38:08 UTC 2026","passed","Thu May 21 09:38:08 UTC 2026","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","823","Error message is displayed when both fields are empty","","Thu May 21 09:38:41 UTC 2026","passed","Thu May 21 09:38:42 UTC 2026","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","972","Adding multiple products updates the cart badge count","","Thu May 21 09:38:30 UTC 2026","passed","Thu May 21 09:38:31 UTC 2026","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"","246","Retrieve second page of users successfully","","Thu May 21 09:38:05 UTC 2026","passed","Thu May 21 09:38:05 UTC 2026","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","870","Standard user can log in successfully","","Thu May 21 09:38:31 UTC 2026","passed","Thu May 21 09:38:32 UTC 2026","","Login functionality","Standard user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","907","Products can be sorted alphabetically ascending","","Thu May 21 09:38:25 UTC 2026","passed","Thu May 21 09:38:26 UTC 2026","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"","367","Create a user with different attributes","","Thu May 21 09:38:07 UTC 2026","passed","Thu May 21 09:38:07 UTC 2026","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","964","Cart displays checkout button","","Thu May 21 09:38:14 UTC 2026","passed","Thu May 21 09:38:15 UTC 2026","","Cart functionality","Cart displays checkout button",""
"","3538","Retrieve first page of users successfully","","Thu May 21 09:38:01 UTC 2026","passed","Thu May 21 09:38:05 UTC 2026","","ReqRes API — Users and Authentication","Retrieve first page of users successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","992","Products can be sorted alphabetically descending","","Thu May 21 09:38:26 UTC 2026","passed","Thu May 21 09:38:27 UTC 2026","","Inventory page functionality","Products can be sorted alphabetically descending",""
