"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","961","Checkout shows error when first name is missing","","2026-08-30","passed","2026-08-30","","Checkout functionality","Checkout shows error when first name is missing",""
"","3372","Retrieve first page of users successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Retrieve first page of users successfully",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","905","User can continue shopping from cart","","2026-08-30","passed","2026-08-30","","Cart functionality","User can continue shopping from cart",""
"","377","Retrieve second page of users successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","788","Standard user lands on inventory page after login","","2026-08-30","passed","2026-08-30","","Login functionality","Standard user lands on inventory page after login",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5802","Performance glitch user can log in successfully","","2026-08-30","passed","2026-08-30","","Login functionality","Performance glitch user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","685","User cannot log in with empty username","","2026-08-30","passed","2026-08-30","","Login functionality","User cannot log in with empty username",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","719","User cannot log in with empty password","","2026-08-30","passed","2026-08-30","","Login functionality","User cannot log in with empty password",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1035","User can log in after correcting invalid credentials","","2026-08-30","passed","2026-08-30","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","997","Checkout shows error when last name is missing","","2026-08-30","passed","2026-08-30","","Checkout functionality","Checkout shows error when last name is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","718","Locked out user cannot log in","","2026-08-30","passed","2026-08-30","","Login functionality","Locked out user cannot log in",""
"","375","Create a new user successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Create a new user successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","820","Products can be sorted alphabetically descending","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Products can be sorted alphabetically descending",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","761","Problem user can log in successfully","","2026-08-30","passed","2026-08-30","","Login functionality","Problem user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","800","Products can be sorted alphabetically ascending","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","776","Inventory page displays correct number of products","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Inventory page displays correct number of products",""
"","227","Update an existing user successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Update an existing user successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1117","User can navigate back to products after completing order","","2026-08-30","passed","2026-08-30","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1166","User can remove a product from the cart","","2026-08-30","passed","2026-08-30","","Cart functionality","User can remove a product from the cart",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","889","Added product appears in cart","","2026-08-30","passed","2026-08-30","","Cart functionality","Added product appears in cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","780","Standard user can log in successfully","","2026-08-30","passed","2026-08-30","","Login functionality","Standard user can log in successfully",""
"","334","Delete a user successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1004","Overview page displays correct order summary","","2026-08-30","passed","2026-08-30","","Checkout functionality","Overview page displays correct order summary",""
"","345","Create a user with different attributes","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2306","User can navigate to the cart","","2026-08-30","passed","2026-08-30","","Cart functionality","User can navigate to the cart",""
"","217","Login without password returns 400 with error message","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1098","User can complete a full checkout","","2026-08-30","passed","2026-08-30","","Checkout functionality","User can complete a full checkout",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","816","Products can be sorted by price low to high","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Products can be sorted by price low to high",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","781","Error message is displayed when both fields are empty","","2026-08-30","passed","2026-08-30","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1077","Multiple products appear in cart","","2026-08-30","passed","2026-08-30","","Cart functionality","Multiple products appear in cart",""
"","328","Request a user that does not exist returns 404","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"","335","Successful login returns a token","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Successful login returns a token",""
"","384","Retrieve a single user by ID successfully","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","823","Products can be sorted by price high to low","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Products can be sorted by price high to low",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","806","Adding a product updates the cart badge","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Adding a product updates the cart badge",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","980","Checkout shows error when postal code is missing","","2026-08-30","passed","2026-08-30","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","906","Checkout page is displayed after proceeding from cart","","2026-08-30","passed","2026-08-30","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","861","Adding multiple products updates the cart badge count","","2026-08-30","passed","2026-08-30","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","871","Cart displays checkout button","","2026-08-30","passed","2026-08-30","","Cart functionality","Cart displays checkout button",""
"","225","Successful registration returns an ID and token","","2026-08-30","passed","2026-08-30","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
