"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","886","Products can be sorted by price high to low","","Mon May 25 10:01:52 UTC 2026","passed","Mon May 25 10:01:53 UTC 2026","","Inventory page functionality","Products can be sorted by price high to low",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1123","User can complete a full checkout","","Mon May 25 10:01:42 UTC 2026","passed","Mon May 25 10:01:43 UTC 2026","","Checkout functionality","User can complete a full checkout",""
"","217","Update an existing user successfully","","Mon May 25 10:01:32 UTC 2026","passed","Mon May 25 10:01:32 UTC 2026","","ReqRes API — Users and Authentication","Update an existing user successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","834","Standard user lands on inventory page after login","","Mon May 25 10:01:55 UTC 2026","passed","Mon May 25 10:01:56 UTC 2026","","Login functionality","Standard user lands on inventory page after login",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","814","Inventory page displays correct number of products","","Mon May 25 10:01:48 UTC 2026","passed","Mon May 25 10:01:49 UTC 2026","","Inventory page functionality","Inventory page displays correct number of products",""
"","250","Retrieve a single user by ID successfully","","Mon May 25 10:01:30 UTC 2026","passed","Mon May 25 10:01:30 UTC 2026","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"","332","Successful registration returns an ID and token","","Mon May 25 10:01:33 UTC 2026","passed","Mon May 25 10:01:33 UTC 2026","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"","365","Create a new user successfully","","Mon May 25 10:01:31 UTC 2026","passed","Mon May 25 10:01:31 UTC 2026","","ReqRes API — Users and Authentication","Create a new user successfully",""
"","343","Create a user with different attributes","","Mon May 25 10:01:31 UTC 2026","passed","Mon May 25 10:01:32 UTC 2026","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2442","User can navigate to the cart","","Mon May 25 10:01:33 UTC 2026","passed","Mon May 25 10:01:36 UTC 2026","","Cart functionality","User can navigate to the cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1059","Checkout shows error when last name is missing","","Mon May 25 10:01:44 UTC 2026","passed","Mon May 25 10:01:45 UTC 2026","","Checkout functionality","Checkout shows error when last name is missing",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","949","Adding multiple products updates the cart badge count","","Mon May 25 10:01:53 UTC 2026","passed","Mon May 25 10:01:54 UTC 2026","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","760","User cannot log in with empty password","","Mon May 25 10:01:58 UTC 2026","passed","Mon May 25 10:01:58 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","831","Problem user can log in successfully","","Mon May 25 10:01:58 UTC 2026","passed","Mon May 25 10:01:59 UTC 2026","","Login functionality","Problem user can log in successfully",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1020","User can continue shopping from cart","","Mon May 25 10:01:40 UTC 2026","passed","Mon May 25 10:01:41 UTC 2026","","Cart functionality","User can continue shopping from cart",""
"","323","Request a user that does not exist returns 404","","Mon May 25 10:01:30 UTC 2026","passed","Mon May 25 10:01:31 UTC 2026","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"","306","Delete a user successfully","","Mon May 25 10:01:32 UTC 2026","passed","Mon May 25 10:01:32 UTC 2026","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","990","User can remove a product from the cart","","Mon May 25 10:01:38 UTC 2026","passed","Mon May 25 10:01:39 UTC 2026","","Cart functionality","User can remove a product from the cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1058","Checkout shows error when first name is missing","","Mon May 25 10:01:43 UTC 2026","passed","Mon May 25 10:01:44 UTC 2026","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","836","Standard user can log in successfully","","Mon May 25 10:01:54 UTC 2026","passed","Mon May 25 10:01:55 UTC 2026","","Login functionality","Standard user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","893","Adding a product updates the cart badge","","Mon May 25 10:01:53 UTC 2026","passed","Mon May 25 10:01:53 UTC 2026","","Inventory page functionality","Adding a product updates the cart badge",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1093","Overview page displays correct order summary","","Mon May 25 10:01:46 UTC 2026","passed","Mon May 25 10:01:47 UTC 2026","","Checkout functionality","Overview page displays correct order summary",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","701","User cannot log in with empty username","","Mon May 25 10:01:57 UTC 2026","passed","Mon May 25 10:01:58 UTC 2026","","Login functionality","User cannot log in with empty username",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1097","Checkout shows error when postal code is missing","","Mon May 25 10:01:45 UTC 2026","passed","Mon May 25 10:01:46 UTC 2026","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5862","Performance glitch user can log in successfully","","Mon May 25 10:01:59 UTC 2026","passed","Mon May 25 10:02:05 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","886","Products can be sorted alphabetically descending","","Mon May 25 10:01:50 UTC 2026","passed","Mon May 25 10:01:51 UTC 2026","","Inventory page functionality","Products can be sorted alphabetically descending",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1028","Multiple products appear in cart","","Mon May 25 10:01:37 UTC 2026","passed","Mon May 25 10:01:38 UTC 2026","","Cart functionality","Multiple products appear in cart",""
"","321","Login without password returns 400 with error message","","Mon May 25 10:01:32 UTC 2026","passed","Mon May 25 10:01:33 UTC 2026","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","879","Products can be sorted alphabetically ascending","","Mon May 25 10:01:49 UTC 2026","passed","Mon May 25 10:01:50 UTC 2026","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1165","User can navigate back to products after completing order","","Mon May 25 10:01:47 UTC 2026","passed","Mon May 25 10:01:48 UTC 2026","","Checkout functionality","User can navigate back to products after completing order",""
