"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","724","User cannot log in with empty username","","2026-06-21","passed","2026-06-21","","Login functionality","User cannot log in with empty username",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1010","User can log in after correcting invalid credentials","","2026-06-21","passed","2026-06-21","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1092","Added product appears in cart","","2026-06-21","passed","2026-06-21","","Cart functionality","Added product appears in cart",""
"","293","Retrieve second page of users successfully","","2026-06-21","passed","2026-06-21","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","841","Inventory page displays correct number of products","","2026-06-21","passed","2026-06-21","","Inventory page functionality","Inventory page displays correct number of products",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1029","Checkout shows error when first name is missing","","2026-06-21","passed","2026-06-21","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1203","User can navigate back to products after completing order","","2026-06-21","passed","2026-06-21","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","906","Products can be sorted by price low to high","","2026-06-21","passed","2026-06-21","","Inventory page functionality","Products can be sorted by price low to high",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1187","User can complete a full checkout","","2026-06-21","passed","2026-06-21","","Checkout functionality","User can complete a full checkout",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","723","Error message is displayed when both fields are empty","","2026-06-21","passed","2026-06-21","","Login functionality","Error message is displayed when both fields are empty",""
"","149","Login without password returns 400 with error message","","2026-06-21","passed","2026-06-21","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","897","Products can be sorted alphabetically descending","","2026-06-21","passed","2026-06-21","","Inventory page functionality","Products can be sorted alphabetically descending",""
"","247","Delete a user successfully","","2026-06-21","passed","2026-06-21","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1085","Checkout shows error when postal code is missing","","2026-06-21","passed","2026-06-21","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","879","Products can be sorted alphabetically ascending","","2026-06-21","passed","2026-06-21","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5865","Performance glitch user can log in successfully","","2026-06-21","passed","2026-06-21","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","988","Checkout page is displayed after proceeding from cart","","2026-06-21","passed","2026-06-21","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","887","Adding a product updates the cart badge","","2026-06-21","passed","2026-06-21","","Inventory page functionality","Adding a product updates the cart badge",""
