"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","662","Inventory page displays correct number of products","","2026-09-03","passed","2026-09-03","","Inventory page functionality","Inventory page displays correct number of products",""
"","356","Create a new user successfully","","2026-09-03","passed","2026-09-03","","ReqRes API — Users and Authentication","Create a new user successfully",""
"","192","Successful login returns a token","","2026-09-03","passed","2026-09-03","","ReqRes API — Users and Authentication","Successful login returns a token",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","637","User cannot log in with empty username","","2026-09-03","passed","2026-09-03","","Login functionality","User cannot log in with empty username",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1212","Overview page displays correct order summary","","2026-09-03","passed","2026-09-03","","Checkout functionality","Overview page displays correct order summary",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","874","Products can be sorted by price low to high","","2026-09-03","passed","2026-09-03","","Inventory page functionality","Products can be sorted by price low to high",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2744","User can navigate to the cart","","2026-09-03","passed","2026-09-03","","Cart functionality","User can navigate to the cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","706","Products can be sorted by price high to low","","2026-09-03","passed","2026-09-03","","Inventory page functionality","Products can be sorted by price high to low",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","807","Checkout shows error when first name is missing","","2026-09-03","passed","2026-09-03","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","673","Standard user can log in successfully","","2026-09-03","passed","2026-09-03","","Login functionality","Standard user can log in successfully",""
"","181","Login without password returns 400 with error message","","2026-09-03","passed","2026-09-03","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","915","User can remove a product from the cart","","2026-09-03","passed","2026-09-03","","Cart functionality","User can remove a product from the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","614","Problem user can log in successfully","","2026-09-03","passed","2026-09-03","","Login functionality","Problem user can log in successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","900","Checkout shows error when postal code is missing","","2026-09-03","passed","2026-09-03","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","773","Added product appears in cart","","2026-09-03","passed","2026-09-03","","Cart functionality","Added product appears in cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","843","Products can be sorted alphabetically ascending","","2026-09-03","passed","2026-09-03","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","578","Error message is displayed when both fields are empty","","2026-09-03","passed","2026-09-03","","Login functionality","Error message is displayed when both fields are empty",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5692","Performance glitch user can log in successfully","","2026-09-03","passed","2026-09-03","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","983","Multiple products appear in cart","","2026-09-03","passed","2026-09-03","","Cart functionality","Multiple products appear in cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","989","User can complete a full checkout","","2026-09-03","passed","2026-09-03","","Checkout functionality","User can complete a full checkout",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","758","Adding multiple products updates the cart badge count","","2026-09-03","passed","2026-09-03","","Inventory page functionality","Adding multiple products updates the cart badge count",""
