"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1125","Checkout shows error when postal code is missing","","2026-08-26","passed","2026-08-26","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1037","Added product appears in cart","","2026-08-26","passed","2026-08-26","","Cart functionality","Added product appears in cart",""
"","388","Create a user with different attributes","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1143","Overview page displays correct order summary","","2026-08-26","passed","2026-08-26","","Checkout functionality","Overview page displays correct order summary",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1149","User can log in after correcting invalid credentials","","2026-08-26","passed","2026-08-26","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","930","Products can be sorted alphabetically descending","","2026-08-26","passed","2026-08-26","","Inventory page functionality","Products can be sorted alphabetically descending",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","986","Adding multiple products updates the cart badge count","","2026-08-26","passed","2026-08-26","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"","275","Successful login returns a token","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Successful login returns a token",""
"","353","Delete a user successfully","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","860","Standard user can log in successfully","","2026-08-26","passed","2026-08-26","","Login functionality","Standard user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","782","User cannot log in with empty username","","2026-08-26","passed","2026-08-26","","Login functionality","User cannot log in with empty username",""
"","372","Request a user that does not exist returns 404","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","895","Problem user can log in successfully","","2026-08-26","passed","2026-08-26","","Login functionality","Problem user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","922","Products can be sorted by price high to low","","2026-08-26","passed","2026-08-26","","Inventory page functionality","Products can be sorted by price high to low",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","981","Checkout page is displayed after proceeding from cart","","2026-08-26","passed","2026-08-26","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","907","Adding a product updates the cart badge","","2026-08-26","passed","2026-08-26","","Inventory page functionality","Adding a product updates the cart badge",""
"","397","Retrieve second page of users successfully","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"","383","Successful registration returns an ID and token","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","963","Cart displays checkout button","","2026-08-26","passed","2026-08-26","","Cart functionality","Cart displays checkout button",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","823","Error message is displayed when both fields are empty","","2026-08-26","passed","2026-08-26","","Login functionality","Error message is displayed when both fields are empty",""
"","311","Update an existing user successfully","","2026-08-26","passed","2026-08-26","","ReqRes API — Users and Authentication","Update an existing user successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","927","Products can be sorted alphabetically ascending","","2026-08-26","passed","2026-08-26","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1218","User can navigate back to products after completing order","","2026-08-26","passed","2026-08-26","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1039","Multiple products appear in cart","","2026-08-26","passed","2026-08-26","","Cart functionality","Multiple products appear in cart",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2474","User can navigate to the cart","","2026-08-26","passed","2026-08-26","","Cart functionality","User can navigate to the cart",""
