"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","320","Successful login returns a token","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Successful login returns a token",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","762","User cannot log in with empty password","","2026-06-04","passed","2026-06-04","","Login functionality","User cannot log in with empty password",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1087","Overview page displays correct order summary","","2026-06-04","passed","2026-06-04","","Checkout functionality","Overview page displays correct order summary",""
"","346","Create a user with different attributes","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Create a user with different attributes",""
"","4357","Retrieve first page of users successfully","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Retrieve first page of users successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","724","User cannot log in with empty username","","2026-06-04","passed","2026-06-04","","Login functionality","User cannot log in with empty username",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1022","User can continue shopping from cart","","2026-06-04","passed","2026-06-04","","Cart functionality","User can continue shopping from cart",""
"","380","Retrieve a single user by ID successfully","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"","334","Request a user that does not exist returns 404","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","883","Products can be sorted by price high to low","","2026-06-04","passed","2026-06-04","","Inventory page functionality","Products can be sorted by price high to low",""
"","240","Retrieve second page of users successfully","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"","193","Successful registration returns an ID and token","","2026-06-04","passed","2026-06-04","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","959","Adding multiple products updates the cart badge count","","2026-06-04","passed","2026-06-04","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","893","Products can be sorted by price low to high","","2026-06-04","passed","2026-06-04","","Inventory page functionality","Products can be sorted by price low to high",""
